"Total Electricity Installed Capacity 2007"
"https://www.eia.gov/beta/international/rankings/#?prodact=2-7&cy=2007&pid=2&aid=7&tl_id=7-A&tl_type=a"
"Tue Nov 06 2018 14:22:23 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"Units: Million Kilowatts"
,Ranking,Country,Value,Percent
,1,"United States",995,22
,2,"China",719,16
,3,"Japan",278,6
,4,"Russia",223,5
,5,"India",169,4
,6,"Germany",137,3
,7,"Canada",125,3
,8,"France",117,3
,9,"Brazil",98,2
,10,"Italy",94,2
,11,"Spain",89,2
,12,"United Kingdom",84,2
,13,"Korea, South",73,2
,14,"Mexico",58,1
,15,"Australia",54,1
,16,"Ukraine",53,1
,17,"Iran",51,1
,18,"Taiwan",45,1
,19,"South Africa",43,1
,20,"Saudi Arabia",42,1
,21,"Turkey",41,1
,22,"Sweden",34,1
,23,"Indonesia",33,1
,24,"Poland",33,1
,25,"Thailand",31,1
,26,"Norway",30,1
,27,"Argentina",30,1
,28,"Netherlands",24,1
,29,"Malaysia",24,1
,30,"Egypt",23,1
,31,"Venezuela",23,1
,32,"Romania",21,0
,33,"Pakistan",20,0
,34,"Austria",19,0
,35,"United Arab Emirates",18,0
,36,"Switzerland",18,0
,37,"Kazakhstan",17,0
,38,"Czech Republic",17,0
,39,"Finland",17,0
,40,"Philippines",17,0
,41,"Belgium",16,0
,42,"Portugal",15,0
,43,"Greece",14,0
,44,"Colombia",13,0
,45,"Vietnam",13,0
,46,"Chile",13,0
,47,"Denmark",13,0
,48,"Hong Kong",13,0
,49,"Uzbekistan",12,0
,50,"Israel",12,0
,51,"Kuwait",11,0
,52,"Singapore",9.9,0
,53,"Bulgaria",9.9,0
,54,"Iraq",9.7,0
,55,"Korea, North",9.5,0
,56,"New Zealand",9.4,0
,57,"Hungary",8.5,0
,58,"Syria",8.5,0
,59,"Serbia",8.3,0
,60,"Paraguay",8.1,0
,61,"Algeria",8.1,0
,62,"Belarus",8,0
,63,"Nigeria",8,0
,64,"Ireland",7.4,0
,65,"Slovakia",7.2,0
,66,"Peru",7.1,0
,67,"Cuba",6,0
,68,"Azerbaijan",5.7,0
