measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44725,Peterborough,2,Female,16,55 to 59,560,Alcohol use disorders,3,Rate,2015,3.073215083614867,4.4152535047941095,1.4421089860441592
1,Deaths,44725,Peterborough,1,Male,17,60 to 64,560,Alcohol use disorders,3,Rate,2015,5.853509017901925,8.17857176315559,4.067393977491935
1,Deaths,44725,Peterborough,2,Female,17,60 to 64,560,Alcohol use disorders,3,Rate,2015,2.793362690774592,3.978837876414706,1.462050315883465
1,Deaths,44725,Peterborough,1,Male,18,65 to 69,560,Alcohol use disorders,3,Rate,2015,5.785485218386266,7.8414892000107805,4.244749499497736
1,Deaths,44725,Peterborough,2,Female,18,65 to 69,560,Alcohol use disorders,3,Rate,2015,2.355148864487197,3.477750923369422,1.2349597197364037
1,Deaths,44725,Peterborough,1,Male,19,70 to 74,560,Alcohol use disorders,3,Rate,2015,4.569486337370907,6.349237987276344,3.185287862952579
1,Deaths,44725,Peterborough,2,Female,19,70 to 74,560,Alcohol use disorders,3,Rate,2015,1.5694334104931993,2.2163644949467805,0.8519265958947846
1,Deaths,44725,Peterborough,1,Male,20,75 to 79,560,Alcohol use disorders,3,Rate,2015,3.3752442811215793,4.463862587238755,2.505875589894024
1,Deaths,44725,Peterborough,2,Female,20,75 to 79,560,Alcohol use disorders,3,Rate,2015,1.1718377056759888,1.6380126180723573,0.642364429225984
1,Deaths,44725,Peterborough,1,Male,30,80 to 84,560,Alcohol use disorders,3,Rate,2015,3.317392640713112,4.497138463083438,2.3942597531925154
1,Deaths,44725,Peterborough,2,Female,30,80 to 84,560,Alcohol use disorders,3,Rate,2015,0.8861893910094035,1.2166403135772865,0.4798484506317523
1,Deaths,44725,Peterborough,1,Male,31,85 to 89,560,Alcohol use disorders,3,Rate,2015,3.296466558792934,4.2587946128847936,2.38551858641296
1,Deaths,44725,Peterborough,2,Female,31,85 to 89,560,Alcohol use disorders,3,Rate,2015,0.8792654997762392,1.2160120019440617,0.4957379699979279
